owner,aggregatedValue
0x2383d2523d0c9dd42d00957168b2ba0eeface1b9,3826
0xf19bc58f747d6ea11959bf2a0fa81e53285546ac,3535
0x6a1a252e84bf1569be1652c53801c85e26b142fe,2809
0x27ace2849d6e1be10a3f0274d279c7788646b55e,1712
0xc4ed938caeb36008493aa2e327140a8a3324d193,1616
0x47b20272ebee4233aad387dd88aa80ddaf55032b,1363
0x4cf67b152b12e4047b2b5b7d39772e47c05d7153,1295
0xdca043d1aa8061d6577b361de32f6ae552b30339,1261
0xfc39dd253b7f9d4f8b5cb9d6a2c911080f504327,1123
0xa5b7a2af41e16bbe53b0b998add1d7b939c24093,1111
0x980761c121be0b51f2e48ff8a57155e6d175f552,1111
0x9023ffb860d864d641ec17b240237681a54700af,1099
0xa75f7cb0fcc56750ffca37227fc6ce43d4be5ed9,1086
0x78be4a225df959a0c2ba8d57430e9b10a3e10338,1071
0xdd061dcef5a5a7d40ed4baa3191ecf9b98eeabdd,982
0xca809428f6a089bc80e848753e56a99acaf3a4ba,949
0xde62c4b2c138d4bd30734001a923b76272fac92a,947
0xf4859a0d738bdda102380637799e24ea11c16d43,878
0x5470c5a6fce7447afd2c9be3a0f25e362c093661,858
0xbdd95abe8a7694ccd77143376b0fbea183e6a740,839
0x4010a534b8ab01945dec322f4eecd6a4b4785277,831
0x9271d052d0cf0ee41f4d2a698b021364b7b0117e,812
0xe03d7cb5e146e7f67c5da6bd81d7252b2d6eea09,749
0xff019340537c2db8f0717f9e710977d18a46d61f,648
0xb58489ca644513558e2836377b15a7c1514e722b,627
0x7157dff1fdae14f7f4e8eecce175899cadca391f,615
0xf035af8a3dff1f90aeb21f9623589ae1330e9e09,585
0x1e61d8d7bf361691c9c4973547187533696e7680,582
0x301817bbccc78c7f6b450a2d9001c504dd96fea1,571
0xa8cca789cfd9033330a5d230079679cbe8a24989,555
0x96b19a7cb74f91adff8168bc2b8cd295252c9360,546
0xe526d1f37289fdc9a809353bbb9474beef439979,518
0x9e005ea686d99febaedd8bdbf3440c15233c4b34,512
0x80a25bb487e89e79599c9acae6dbc6b8a5f1bcdc,503
0xe51ec7d0b3809fc7e41d7fd033fbaf0affc443c5,500
0xbb4207b3e0627983525af29545324f61276670ea,500
0xb9b05740acd79ba762fda0b9196f5dfc3785685c,499
0x42a60d2f2ffa2150c568010a8d425f0aad284fd2,473
0xf1f688b2511f404bbe0f798b1e5f150c3cfa2f93,463
0x0392c0d81934b52f64aa50c2cfbbcf28cd6141b2,453
0x8ffa85a0c59cf23967eb31c060b2ca3a920276e1,451
0xfba6d264f7c3a2a3f6eb2a73edb6849475737d19,443
0x79296381bd8690482376fe355e0f68dca8bb6b4e,430
0x6f533e0048fb573cd45c0aa9dc31b5c6ebce02df,413
0xc47356aa9d0cf8ee2d30d0a5565b1a78c78ed255,407
0x892cec5232c3213b179569d1feb7ea2af725a110,404
0x0a0d186a75d96c7cc5e5e97e1c61ce438d58722b,380
0x7fcba00be45e7f5260b4e0369313b642fa810f6d,377
0xb4eee967b461f27d7c026fc9233c6679873b4721,374
0x5d958570d8e7e889f95d278160e1d20d73222a74,370
0xbf26925f736e90e1715ce4e04cd9c289dd1bc002,368
0xb910119f8b1838a95f9fbcf575e51e1e72469517,350
0x3a1f7faa40c93be8e4a3f76b7e910dcd8776cf76,349
0x98542a7bac725e47dc787e0cb38352b509307c79,330
0xb0ff9c9b8f7d80f24aef49ddcf6b35bb5a775d79,322
0x2bde15dfbc4cab612f8288b9e2acd8f6298ac018,321
0xf7f87e63477e9f4857c68fb7a09e648fcbc2009a,318
0x1b338506889555b13926e74dc222d1bb762ef2f7,312
0xdaa0c91e48f74b5000474bfc5fcf6152ca0c7857,312
0x2ce0fb9a765ba7f55d43897dd404c8d92e9c0708,310
0xbf09b58feafb40b5fcda967252bbe2534771257b,309
