owner,burns
0x6a1a252e84bf1569be1652c53801c85e26b142fe,223
0x27ace2849d6e1be10a3f0274d279c7788646b55e,120
0xd2c894e3ae98f342761dfd4afd7d23a371ca95c6,99
0x166d0d94f4e3a5afd1d2b9671a2199ed4f6094b0,94
0xf19bc58f747d6ea11959bf2a0fa81e53285546ac,92
0xdd061dcef5a5a7d40ed4baa3191ecf9b98eeabdd,70
0xfd74e361244a2e4eb807583969943eec01b60ffc,68
0xd51ce9be4a1cb6185b76ba825c59236a6cf5ca2a,63
0x8fb864c20a30ca37c568c3310ca2aae92d0e5db7,58
0xa5b7a2af41e16bbe53b0b998add1d7b939c24093,57
0x123f8e04ff1d77298c1185c57fa719f49df61d80,55
0xdb5f98d56f9731d265cd1ed771ecd4abfafc3902,55
0xc4ed938caeb36008493aa2e327140a8a3324d193,55
0xe0c3b25b71c0a44a3bcb443d2bd9e92103ee7ddf,42
0x38b8f8008cce8a43eb223d7971ddc0800b940886,41
0xdc6784896b6dce26a8cfce64efa5bee202ac1139,39
0x9271d052d0cf0ee41f4d2a698b021364b7b0117e,38
0xc432c4f9b0b754e784eae6845cfc6d01c2f4d444,36
0x0392c0d81934b52f64aa50c2cfbbcf28cd6141b2,35
0xecd1411433f3c41605b804abd35281f26c89c5ae,30
0x375deee2ff22e6292579d5101ddca45d91860749,30
0x0f7a2eb5dfe07f58b73f2a61094bbd3541d3c520,29
0xb66d37ded2628250d2ca4c01cf692766c2ba9a4d,27
0xaf8df959507b7d7358bacc34b7b59be01be70bb8,27
0x12e322ef04da64246412536f8eb60d6a402a59f9,25
0x004857e61922d3c99688f00db3cd228f683e23f8,23
0x61aa1430138824abd0c1f0878a3da2ba18071e8c,21
0xf36ce58e0d9d5df22a4db81d9277e6ad157c229f,21
0xef11ff64b7cb7621a99ffee16fce1227fa5dc7ba,20
0xbb4207b3e0627983525af29545324f61276670ea,20
0xe92f5a12d7bec3c586c7127d64e89f5ee13d292f,20
0x7bf8ce50e493b7117230fdc60ad9aa229cfb5d27,20
0xd4bbdf53913497755ecc7ca1983c3edabd1c63fd,19
0x129774ee805e873193b73a2a91d3525e5c467363,19
0x1e61d8d7bf361691c9c4973547187533696e7680,19
0x802b07d5bd8f72bc7718de76ddf51045784a9d0b,19
0x044ebb2f973bb84bce9000961b069d1af9b16513,18
0x0325b5ba13c5283f2c5262983a64e963f5bdca4e,18
0xc46bc20feecaadaa7cb90553d669990e208bde02,17
0x98542a7bac725e47dc787e0cb38352b509307c79,17
0xf3fbb2c0a711529ef9b81fe59a5ef5b8f1e0eb27,17
0x7547c9e3a87620489c80dc3047394c645639c271,16
0xaae6c599709a9d282d5c3cbbb53a1c79ac1b6070,16
0xccb3130d29424b90856963d9079df42ea4333655,16
0x980761c121be0b51f2e48ff8a57155e6d175f552,15
0x2190d4ee2bfc8883c3d71f4b5f41acd7a7287ff5,14
0xb4eee967b461f27d7c026fc9233c6679873b4721,14
0x98c2ac5677aae7f6bf892d312c854dfcba9bb63e,14
0x2bde15dfbc4cab612f8288b9e2acd8f6298ac018,14
0x94a2a23bc5c81898a08ab255013d6962829e4ee1,14
0xadc572b34f685dd1c12c5d1b592877f68fe5bbb0,14
0xba83245913a149572a4aff9e64ea8e31ff793aa8,13
0xfd59e1eedd41b8c91b0a305db61e43a599aa4b55,12
0x0a0d186a75d96c7cc5e5e97e1c61ce438d58722b,12
0x5ca9d6e474d68871cc17cee4ccb6c1fa761373cd,12
0x699480b2244d036396f9ce91dbf044ccc8e39140,12
0xaa77fffad72ace7cbaff69084201ab6966187886,12
0xeec28f46e46090d51ff50b07f43533112f720b82,12
0xfb43f0333aeaa535582141cf28ab209ae85ad52a,12
0x96b19a7cb74f91adff8168bc2b8cd295252c9360,11
0xee6fb338e75c43cc9153ff86600700459e9871da,10
0xe817ea69d837a4dfd973512cb890b4e484c29f9f,10
0xac59fda6c1aa9538069e91573db5f24275f36571,10
0x5c16a1799791acb83919e578707bf736bdfafefc,10
0x667128d400fab4a113a96529b72e69154da13d8e,10
0x1ce9d62ac3dd1b897d582cda4075793ee8d0bfd3,10
0x617ee4d9504c9fa914eb511cda1638005409beb5,10
0xcd7f7cc5e7d037ef9fc9940e64fd083800518c94,10
0x7400abd79f89db73ceb08b00aaecd2dc1d6ef0ee,9
0x4930bf4609979444d67be0749cad49faec077753,9
0xe3672ddd7cf52ba8d5f4413e7bb5bbb5e7dc0efd,9
0xacf2df3ddd8024edd4a03f496097e4cf19b19f1f,9
0x76eb7dc81c4b05aea80126affe5dc6fc94152a47,9
0xe01202874fdf8bf066e8273ffe65d32842bdec83,9
0xcfcb181b5cb759160a532964a2f2c3390c6f4221,9
0x301817bbccc78c7f6b450a2d9001c504dd96fea1,9
0x3cfd693fa27232fdf9f8eca4b71891f790979a57,9
0x07062c38ef43fb33ee1f5f336fb693cae877f53e,8
0xae1d7ed78c65cc05a11d832de7f799ff77c8121f,8
0xbc934896714f8872ad117d1f36b4b3737bde3694,8
0x55cb3cec8ab231349e7629ebba51328e0fbb3550,8
0x5f54f06da0dd420a766d3cf7585004430be4310d,8
0x555e70dfd298ab07ba90de3569fe05c18d41473f,8
0x152bac47b8929687e508608b54104fef949fea67,8
0xfc39dd253b7f9d4f8b5cb9d6a2c911080f504327,8
0x960ae7e6108c0b6860c44f38eadf572814d107da,8
0xc4e0435861b39843f4155ec518dbcfc34725682b,8
0xef2743855ce5d1f0138bb16d98c469d1287c24f2,8
0xfa6ee7af7baa1b174500d1a8275995eea829453a,8
0x6c6547f194057018b3a3eaed919d7039ec37d51d,8
0x0f0c6ead741f9f4a217503f96239b5e4b84d80cf,7
0xf676708b675565b448506095c3326f04f51aa842,7
0xebe71b162c4fd6be6f07bf11b17d271c1087bd8b,7
0x39b3b7e370394b664a37e8c59c33f2662986d5d4,7
0xba521c130af0eff3d300b398b4715f154fa21bbe,7
0xbc383f62f67101c0277890a2eb74e27e27e6698f,7
0x66b93ec5113283bfec35c21fe2827ad6bd80eff5,7
0x19e47ece41ce9e0aa24eff59f02c3e9ac578419a,7
0x9ab57cf9c7b16c334a982d79bb96c96705bea673,7
0x638af921ca8a64eaf9b54cbcc8ebec5690fda474,7
0xca87d4a49aa3350fea523e679763c28af562019a,7
0xdd8fa729a39441985cf7c9bd77849f19dbe00bdc,7
0x3af78a5aaca1d18cb2c0d2f23d95fc7fe09e92fa,7
0x0567d67105ae13d00b60a991e57b9cc83f05c083,7
0x57a9e4995035060d499d9c020cd8ad2cabaa6619,7
0xd4d2308ee2ce7eb71bdd350d8993db63ef5d7521,7
0xfc832593b94b0f5e78a0a43b83ef3297da14c470,7
0x36f9d77959bf4e02bf589b59e77ce71ea9118edc,6
0xe2a1c11da5e03114ccc348a4252fd3b60c89925e,6
0xa97c7af7532e661db802069571920a718338618d,6
0xc1a639bc1ac89a348add12f60c07390ca7bf18ae,6
0x11c8678135658637fc510757cb26a1de551565c3,6
0xa88b2ff9ff713645328216c9ea17d0608791b499,6
0x1b338506889555b13926e74dc222d1bb762ef2f7,6
0xed6e663b8d2192c515ff70ee0d6291e44db83be9,6
0x4625a4a88f8db0c56e9dc5cbadede62a19a4c08a,6
0xac77b446128ce9bb3de67f3f26db332f8b6816b7,6
0xc9976c3ecdea1b9bf32ba74c1ddf2456a8ed2f42,6
0x610c557b3a9500d5c42448272230be77b20c9438,6
0x2698b58b2f05fb3a51c934153933ff86e6d9e49d,6
0xdd121c2ded290a403c993315da998ec2a1f0577c,6
0x69e6a624922c59b469491c5f668335f89e7e703f,6
0xa4ba0b7797047a5ad64e32cb0e4147655db619aa,6
0x49c94bf30d15858669666a5ce56f532f1f427b2f,6
0x855a7f01d07fde0480c54c7349707e5481bc2093,6
0x61df880c88f200f7719c1023085169e75a5d8eb9,6
0xd4a433f2359438c51a5a923830f03343c80aa617,6
0x0ec96b120db678ca61cfc54e593702a7684fe500,6
0x666f28c75f3304b63ef948a992795214d9a35fab,6
0xb712b8dcf5f81a170337a1278a1bbde31cccdaa2,6
0x3a1f7faa40c93be8e4a3f76b7e910dcd8776cf76,6
0x693e1aea486c80d34124c6dc3edddd325a41abe9,5
0x94feb426cfae97b62d97deff78831602b83d2710,5
0xe199a6844d6c126d4d2b0b047df674782a9d56c1,5
0xcefa0f326757a42a24fa9469b02f3919681dc49c,5
0xe34a17cf38d16d67e9307b127fd474502dba5f65,5
0x888d2c0fbbbc073f4830805752e27e77a5d79042,5
0x5f761a35d4a0c99e70a9dbf61462891c7ba3d93d,5
0xbc6d77aa4fc4407897bac23d78dd4bdc1d5f8676,5
0xf04141347b341b6540e806ddfeb6fcdfc6db3703,5
0x02d2f69f62d073b2fe45c051e3876952bcef3165,5
0x784058c14e0c3b90229d7aa3f83081cefbe3f40b,5
0x55fc3e5eb344968bfb5a079628edde58b9e6ef71,5
0x83304f7b6f17735e96de59eb69e0229b06241236,5
0x3e9e7003f3a09cb82033a4f2a64e681009fc6ba6,5
0x17e566d94b9e9471eaaa1fd48fed92666fe0e6c0,5
0x7bbee141d5b86dad4162c734c5c9d6d0751f1c69,5
0x4e03446b62750ba116beafb11b289201878ef37a,5
0xe63c78adcb7a766ddc48e493de46094b59376ef5,5
0x087be9e1cbeacff8188fab3ab6e781d0ae2b4a1c,5
0x8845234ffb6e7183e0e59a0dc9bc86bf51246699,5
