owner,value,tokenId
0xc4ed938caeb36008493aa2e327140a8a3324d193,1616,4888
0x27ace2849d6e1be10a3f0274d279c7788646b55e,1339,9
0xf19bc58f747d6ea11959bf2a0fa81e53285546ac,1337,501
0xa5b7a2af41e16bbe53b0b998add1d7b939c24093,1111,237
0x980761c121be0b51f2e48ff8a57155e6d175f552,1111,1026
0xf19bc58f747d6ea11959bf2a0fa81e53285546ac,1001,757
0x6a1a252e84bf1569be1652c53801c85e26b142fe,1000,257
0xa75f7cb0fcc56750ffca37227fc6ce43d4be5ed9,999,1107
0x9271d052d0cf0ee41f4d2a698b021364b7b0117e,747,821
0x2383d2523d0c9dd42d00957168b2ba0eeface1b9,666,1985
0xa8cca789cfd9033330a5d230079679cbe8a24989,555,213
0xe51ec7d0b3809fc7e41d7fd033fbaf0affc443c5,500,40
0xbb4207b3e0627983525af29545324f61276670ea,500,1028
0x2383d2523d0c9dd42d00957168b2ba0eeface1b9,482,1544
0x1e61d8d7bf361691c9c4973547187533696e7680,444,882
0x2383d2523d0c9dd42d00957168b2ba0eeface1b9,420,468
0xf19bc58f747d6ea11959bf2a0fa81e53285546ac,420,542
0x2383d2523d0c9dd42d00957168b2ba0eeface1b9,420,1481
0x0392c0d81934b52f64aa50c2cfbbcf28cd6141b2,420,4574
0xadc572b34f685dd1c12c5d1b592877f68fe5bbb0,234,3291
0xbdd95abe8a7694ccd77143376b0fbea183e6a740,222,222
0x1b338506889555b13926e74dc222d1bb762ef2f7,222,1245
0x3193606a0a1d70c3c9298abb2ba9f998ab6f038a,195,1369
0xcfcb181b5cb759160a532964a2f2c3390c6f4221,191,3068
0xdd061dcef5a5a7d40ed4baa3191ecf9b98eeabdd,175,175
0xac77b446128ce9bb3de67f3f26db332f8b6816b7,170,958
0x6e06a2549009da602cbc7ac8fa9794268d2a3c58,160,160
0x41975b75fad36cf476d00ed4e5d5b15482a21d4c,155,913
0xdd061dcef5a5a7d40ed4baa3191ecf9b98eeabdd,153,153
0x04d4e38e09a2f3dae520f3d0071e10b51b78b77a,148,148
0xf19bc58f747d6ea11959bf2a0fa81e53285546ac,141,1703
0x96b19a7cb74f91adff8168bc2b8cd295252c9360,130,130
0xccb3130d29424b90856963d9079df42ea4333655,128,128
0x69e6a624922c59b469491c5f668335f89e7e703f,125,1355
0x96b19a7cb74f91adff8168bc2b8cd295252c9360,123,277
0xdaa0c91e48f74b5000474bfc5fcf6152ca0c7857,123,788
0x49c94bf30d15858669666a5ce56f532f1f427b2f,123,832
0x43c1fe580d4dbb24befc651bd0cf5b5c33c52b05,123,1539
0xb712b8dcf5f81a170337a1278a1bbde31cccdaa2,122,288
0x617ee4d9504c9fa914eb511cda1638005409beb5,111,250
0xc432c4f9b0b754e784eae6845cfc6d01c2f4d444,111,298
0xd4d2308ee2ce7eb71bdd350d8993db63ef5d7521,111,1139
0x301817bbccc78c7f6b450a2d9001c504dd96fea1,111,2461
0xb6d089f0b4865f922fe92815a1c90b53598e5aae,111,2883
0xd60549d6ee0b579a884a485dbbd3cb73ba3e4016,108,660
0x74a537f6f324368d6d2437ef2f9e4873a37989c2,107,1262
0x855a7f01d07fde0480c54c7349707e5481bc2093,100,10
0xa9ed40a039376dc1ac935903b2ea57d9c8da054d,100,415
0x13154a5c4db42ba376437cf9b1948756a3ed6ebd,100,667
0x72d74a290625e32fe77bd83dd59125071a10a0e6,100,924
0xeb0884d03a8f05d4904c14e4c8b08b776e91f5d6,100,977
0xb4eee967b461f27d7c026fc9233c6679873b4721,100,1346
0x3224e07103c4ab558faee6aed27a63457a823196,100,1348
0x301817bbccc78c7f6b450a2d9001c504dd96fea1,100,1368
0xf2e4ce38fffeb48545def9476d4fa1595e8a9e25,100,1434
0x5ca9d6e474d68871cc17cee4ccb6c1fa761373cd,100,1566
